Date,Open,High,Low,Close,Adj Close,Volume
2011-11-02,123.830002,124.400002,122.790001,123.989998,101.732796,244717600
2011-11-03,125.269997,126.500000,123.599998,126.250000,103.587097,291174800
2011-11-04,125.230003,125.699997,124.010002,125.480003,102.955338,249401600
2011-11-07,125.389999,126.389999,124.199997,126.260002,103.595329,196617200
2011-11-08,126.919998,128.020004,125.709999,127.879997,104.924500,224426300
2011-11-09,124.889999,125.800003,122.860001,123.160004,101.051781,337982000
2011-11-10,124.790001,124.940002,123.019997,124.320000,102.003563,231866500
2011-11-11,125.830002,126.989998,125.790001,126.660004,103.923492,189924400
2011-11-14,126.190002,127.449997,124.919998,125.459999,102.938904,159258300
2011-11-15,125.169998,126.750000,124.720001,126.080002,103.447624,184709400
2011-11-16,124.809998,126.339996,123.900002,124.080002,101.806641,235782500
2011-11-17,123.849998,124.160004,121.230003,122.110001,100.190269,331219600
2011-11-18,122.500000,122.750000,121.470001,121.980003,100.083626,215580400
2011-11-21,120.199997,120.349998,118.650002,119.660004,98.180084,229611600
2011-11-22,119.400002,120.099998,118.519997,119.190002,97.794426,216494900
2011-11-23,118.070000,119.190002,116.559998,116.559998,95.636543,224329100
2011-11-25,116.379997,117.699997,116.199997,116.339996,95.456017,99557000
2011-11-28,119.540001,120.180000,118.820000,119.709999,98.221085,210686000
2011-11-29,120.050003,121.000000,119.610001,120.050003,98.500061,199241500
2011-11-30,123.489998,125.220001,120.000000,124.989998,102.553276,324439500
2011-12-01,124.849998,125.639999,124.430000,124.970001,102.536865,176954800
2011-12-02,126.120003,126.500000,124.779999,124.860001,102.446632,221109700
2011-12-05,126.839996,127.180000,125.440002,126.220001,103.562500,225263900
2011-12-06,126.209999,127.110001,125.760002,126.260002,103.595329,178842100
2011-12-07,125.839996,127.260002,124.970001,126.730003,103.980927,237802500
2011-12-08,125.900002,126.180000,123.650002,123.949997,101.699982,240862800
2011-12-09,124.510002,126.370003,124.400002,126.050003,103.423027,209111400
2011-12-12,124.949997,124.970001,123.160004,124.209999,101.913300,215826100
2011-12-13,124.860001,125.570000,122.449997,123.050003,100.961533,245159800
2011-12-14,122.559998,123.029999,121.470001,121.739998,99.886665,238618800
2011-12-15,123.029999,123.199997,121.989998,122.180000,100.247681,199109200
2011-12-16,122.230003,122.949997,121.300003,121.589996,100.396332,220481400
2011-12-19,122.059998,122.320000,120.029999,120.290001,99.322968,183903000
2011-12-20,122.180000,124.139999,120.370003,123.930000,102.328453,225418100
2011-12-21,123.930000,124.360001,122.750000,124.169998,102.526604,194230900
2011-12-22,124.629997,125.400002,124.230003,125.269997,103.434883,119465400
2011-12-23,125.669998,126.430000,125.410004,126.389999,104.359650,92187200
2011-12-27,126.169998,126.820000,126.059998,126.489998,104.442215,86075700
